,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
1624,France,"This light, cool-climate Pinot Noir is crisp with red currant fruit and herbal-tinged acidity. It has a zesty character that keeps it lively and tight. Drink now.",La Petite Perrière,85,12.0,France Other,Vin de France,,Roger Voss,@vossroger,Saget la Perrière 2016 La Petite Perrière Pinot Noir (Vin de France),Pinot Noir,Saget la Perrière
1628,France,"This is an easy, open wine that is lightly herbal. There is a barnyard edge that masks the fruit, although there is bright crisp acidity to give it a lift. Drink now.",Le Charnay,85,22.0,Loire Valley,Menetou-Salon,,Roger Voss,@vossroger,Jean-Max Roger 2015 Le Charnay  (Menetou-Salon),Sauvignon Blanc,Jean-Max Roger
1630,Portugal,"Young and fruity, this is a bright and wine for immediate drinking. It has hints of tannins, plenty of red fruits and no wood.",Brado,85,8.0,Alentejano,,,Roger Voss,@vossroger,Adega Cooperativa de Borba 2016 Brado Red (Alentejano),Portuguese Red,Adega Cooperativa de Borba
1646,Argentina,"Lime and tangerine aromas are light and dusty, with a yeasty note. This feels mostly sound but basic, with leesy, melony flavors. On the finish, this loses intensity and turns bready in flavor and soft in feel.",Mil Piedras,85,13.0,Mendoza Province,Vista Flores,,Michael Schachner,@wineschach,Benvenuto de la Serna 2015 Mil Piedras Viognier (Vista Flores),Viognier,Benvenuto de la Serna
1657,France,"High-toast aromas are followed on the palate by flavors that are more about wood than fruit. That gives the wine a tough, extracted character that probably will not go away.",,85,20.0,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château Troupian 2014  Haut-Médoc,Bordeaux-style Red Blend,Château Troupian
1665,Argentina,Oily aromas of citrus peel and lychee set up a lemony palate with pyrazine-influenced citrus flavors. Lychee is the lead flavor on a finish that's mildly bitter.,Esperanza Por Un Milagro,85,12.0,Other,Salta,,Michael Schachner,@wineschach,Amalaya 2015 Esperanza Por Un Milagro White (Salta),White Blend,Amalaya
1675,France,"Like many of the '07 Hermitages, this isn't a huge wine, but instead shows a nice sense of proportion, marrying hickory smoke with touches of cracked peppercorns, cedar and roasted beef. Drink now–2020.",,90,126.0,Rhône Valley,Hermitage,,Joe Czerwinski,@JoeCz,Tardieu-Laurent 2007  Hermitage,Syrah,Tardieu-Laurent
1685,Italy,"Rosemary-marinated steak, roast pork roll stuffed with prunes or dark chicken or turkey meat would make perfect paring partners to this red blend from southern Tuscany. Aromas of spice, mature cherry and leather are soft and penetrating.",Colpetroso,90,,Tuscany,Maremma,,,,Massi di Mandorlaia 2007 Colpetroso  (Maremma),Red Blend,Massi di Mandorlaia
1696,Italy,"The fruit appears very ripe, almost too ripe, making the wine difficult to pair with food because of the width and intensity of its jammy nose. Yet more harmonious tones of chocolate, coffee and spice kick in at the rear to add dimension.",Quercegobbe,86,50.0,Tuscany,Toscana,,,,Petra 2003 Quercegobbe Merlot (Toscana),Merlot,Petra
1700,Portugal,"Rounded but also fruity, this soft wine is perfumed, hinting at white flowers and tropical fruits. While the acidity is low, the fruit is easy, ripe and lightly structured.",Galeria,86,15.0,Bairrada,,,Roger Voss,@vossroger,Caves Aliança 2006 Galeria Bical (Bairrada),Bical,Caves Aliança
1711,Spain,"While we'd suggest waiting for the 2007 to hit the market, this softer-styled wine is showing mature melon, tropical fruit and bee's wax aromas in front of mild citrus, lemon and pineapple flavors. It has a medium-weight body and almost a honeyed roundness. Drink now.",,85,10.0,Northern Spain,Rueda,,Michael Schachner,@wineschach,Analivia 2006 Verdejo (Rueda),Verdejo,Analivia
1724,US,"The earthy spice character of this masculine but poised Pinot makes it a unique and stylish pick for red wine lovers. Flavors are balanced, the acids are in check and the finish is delicate but spicy. Overall, a nice wine with class.",Barrel Select,85,22.0,Pennsylvania,Pennsylvania,,Susan Kostrzewa,@suskostrzewa,Chaddsford 2005 Barrel Select Pinot Noir (Pennsylvania),Pinot Noir,Chaddsford
1732,Italy,"Classic Sangiovese aromas of underbrush, pressed powder, violet and wild berry mingle in the glass. The vibrant palate offers layers of black cherry, dried red cherry, white pepper, truffle and savory herb alongside firm but refined tannins and bright acidity. This is all about polish and finesse. Drink 2018–2028.",,92,90.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Lambardi 2010  Brunello di Montalcino,Sangiovese,Lambardi
1752,US,"This is a straightforward quaffer. Aromas of herbs, jasmine and stone fruit lead to sugary-sweet fruit flavors.",Late Harvest,84,10.0,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Washington Hills 2014 Late Harvest Riesling (Washington),Riesling,Washington Hills
1767,France,"Too much extraction has given this wine a dry character. It does have juicy red fruits underneath and these should come out as the wine ages. It is likely, though, always to be a dry wine.",,84,25.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Barreyre 2013  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Barreyre
1774,US,"Dark, dry and puckering with a stewed plum aroma and flavor, this wine offers a depth of tannin and herbal notes. A blend of 70% Cabernet Sauvignon, 22% Cabernet Franc and 8% Merlot, it spent 20 months in French oak.",Bellarina,84,22.0,California,Knights Valley,Sonoma,Virginie Boone,@vboone,Ehret 2010 Bellarina Meritage (Knights Valley),Meritage,Ehret
1775,France,"Ripe and jammy with attractive soft fruits and acidity, this wine has crushed strawberry and light spice flavors. Drink from late 2016. MACIF, a mutual insurance company, bought the estate in the 1980s and restored the vineyards and beautiful château. The estate manager is Fredéric Dubois and consultant is Georges Pauli.",,84,,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château de Belcier 2013  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Château de Belcier
1798,Italy,"From one of the best vintages in the last 15 years, this classic Barolo needs to be opened a couple of hours ahead of time to breathe. It's a bit shy on aromas but the palate delivers dried cherry, fig, tobacco, white pepper and black tea flavors. Youthful acidity accompanies silky tannins in this wine that is just starting to develop complexity. Drink through 2024.",Riserva,91,50.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Villadoria 2004 Riserva  (Barolo),Nebbiolo,Villadoria
1821,Portugal,"Grassy, green aromas give this a herbal, crisp taste. It is tight and tangy, with green fruit aromas and a fresh aftertaste. Drink now.",Alves Vieira Branco,85,13.0,Alentejano,,,Roger Voss,@vossroger,Espaço Rural 2014 Alves Vieira Branco White (Alentejano),Portuguese White,Espaço Rural
1824,France,"This structured wine has a tight, tannic, dry character. It is slow to develop, leaving the black cherry fruits still masked by the forward dryness. Drink from 2016.",Domaine du Paradis,85,22.0,Beaujolais,Saint-Amour,,Roger Voss,@vossroger,Georges Duboeuf 2014 Domaine du Paradis  (Saint-Amour),Gamay,Georges Duboeuf
1867,US,"A stunning Syrah with 4% Viognier that's almost black in color and aching with deep, dark cherry and black licorice surrounded by a lush, dense herb garden. This is a heavy, rich California Syrah, practically a velvet curtain, that will appeal to Rhône aficionados and anyone with a taste for something big, accentuated by a smoky finish.",The Brawler,93,36.0,California,Calaveras County,Sierra Foothills,Virginie Boone,@vboone,Prospect 772 2009 The Brawler Syrah-Viognier (Calaveras County),Syrah-Viognier,Prospect 772
1868,US,"Quilceda's single-vineyard Bordeaux-style blend is 76% Cabernet Sauvignon, 14% Cabernet Franc, 7% Merlot and 3% Petit Verdot, from a vineyard just across the road from Champoux. Dusty and fragrant, it suggests soft leather, toast, caramel and coconut, hiding its fruit at first in a wash of luxurious barrel flavors. That fruit emerges with some hours of decanting, a tart and racy mix of berry and sweet tomato.",Palengat Red Wine,93,85.0,Washington,Horse Heaven Hills,Columbia Valley,Paul Gregutt,@paulgwine ,Quilceda Creek 2008 Palengat Red Wine Red (Horse Heaven Hills),Red Blend,Quilceda Creek
1882,US,"A delicious Syrah in the classic mold of Columbia Valley fruit. Solid and sappy, it's a mouthful of bright berry flavors, penetrating into layers of licorice, coffee and chocolate. The liquorous finish is rich and balanced, with a hint of heat.",,93,28.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Dunham 2008 Syrah (Columbia Valley (WA)),Syrah,Dunham
1896,US,"This is a high acid style of Chardonnay, reflective of a vintage that was one of the coolest in a decade or more. Crisp and detailed, this offers a classy mix of citrus and apple, wet stone and light baking spices. Hints of nutmeg and cinnamon adorn the fruit, which lingers gently through a citrusy finish.",Reserve,89,30.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Ponzi 2005 Reserve Chardonnay (Willamette Valley),Chardonnay,Ponzi
1902,Argentina,"Black plum, cola and chocolate define this textbook Malbec. The wine has body, heft and lots of fruit, but also some complexity and character. Flavors of black cherry, plum and cassis are layered and fairly boisterous, while the mouthfeel is firm and just slightly tannic. Just right for red meats and pastas.",Premium,89,12.0,Mendoza Province,Luján de Cuyo,,Michael Schachner,@wineschach,Piattelli 2005 Premium Malbec (Luján de Cuyo),Malbec,Piattelli
1910,US,"For such a large production Chard, this one gives a lot of concentrated varietal purity. It's dry and crisp, brimming with ripe pineapple, green apple, Key lime pie, pear, date and smoky vanilla flavors that finish with real sophistication and class.",Wetzel Family Estate,88,15.0,California,Alexander Valley,Sonoma,,,Alexander Valley Vineyards 2006 Wetzel Family Estate Chardonnay (Alexander Valley),Chardonnay,Alexander Valley Vineyards
1914,US,"Good and dry, with tough tannins that make it hard to drink now. With blackberry, currant, molasses and dark chocolate flavors, it seems like an ager, but may not have the concentration for the long haul. Try again in 2–3 years.",Les Fauves White Hawk Vineyard,87,50.0,California,Santa Barbara,Central Coast,,,Calicaro 2010 Les Fauves White Hawk Vineyard Syrah (Santa Barbara),Syrah,Calicaro
1916,Chile,"Rubbery red-berry aromas blend with spicy field scents to create a true Pinot nose that's a bit strained. This is intense, chunky and slightly herbal, with red-fruit flavors, spice notes and some heat and oak on the finish.",Novas Gran Reserva Made with Organically Grown Grapes,87,16.0,Casablanca Valley,,,Michael Schachner,@wineschach,Emiliana 2011 Novas Gran Reserva Made with Organically Grown Grapes Pinot Noir (Casablanca Valley),Pinot Noir,Emiliana
1917,Chile,"Hay, straw, match stick and minerally aromas outweigh this wine's fruit scents by a measurable margin. This is chunky and a bit soft in the mouth, a reflection of 2012's heat. And while it's round as a ball, it's slightly vegetal and bitter tasting on the palate, with grapefruit and bell pepper flavors.",Max Reserva,87,19.0,Aconcagua Valley,,,Michael Schachner,@wineschach,Errazuriz 2012 Max Reserva Sauvignon Blanc (Aconcagua Valley),Sauvignon Blanc,Errazuriz
1925,Italy,"This opens with evident oak aromas of toasted wood, espresso and coffee bean followed by underpinnings of black fruit and pepper. The palate shows ripe black fruit, espresso and oak. Although it has nice depth, the finish is cut short by by drying wood tannins.",Cannubi Boschis,87,50.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Virna Borgogno 2009 Cannubi Boschis  (Barolo),Nebbiolo,Virna Borgogno
1938,Chile,"A green, minty wave of challenging aromas comes with black olive, coconutty oak and graphite. The palate is bullish, scratchy in feel and tannic, with feral, herbal flavors of blackberry, juniper and wild herbs. Herbal and wild are the best words to describe this Syrah.",Gran Reserva,87,19.0,Maipo Valley,,,Michael Schachner,@wineschach,Casa Rivas 2010 Gran Reserva Syrah (Maipo Valley),Syrah,Casa Rivas
1940,France,"Ripe fruit, sweet tannins and soft texture mark this wine. It's full, ripe and lightly structured. An attractive wine for its black fruit and forward character. Drink in 2–4 years.",,87,20.0,Bordeaux,Saint-Georges-Saint-Émilion,,Roger Voss,@vossroger,Château Macquin 2011  Saint-Georges-Saint-Émilion,Bordeaux-style Red Blend,Château Macquin
1971,France,"This is full of crisp, herbaceous flavors of apple, grapefruit and lime. It has weight and concentration, with some richness to its freshness. Acidity cuts through on the finish. Age this for 2–3 years.",Cuvée des Contis,88,18.0,Southwest France,Bergerac Sec,,Roger Voss,@vossroger,Château Tour des Gendres 2011 Cuvée des Contis White (Bergerac Sec),Bordeaux-style White Blend,Château Tour des Gendres
1981,Italy,"Plumbago is a pure expression of Nero d'Avola that portrays the natural characteristics of this indigenous Sicilian grape. Red berry, cherry, almond skin and pistachio open the bouquet and give way to zesty freshness on the palate.",Plumbago,88,,Sicily & Sardinia,Sicilia,,,,Planeta 2010 Plumbago Nero d'Avola (Sicilia),Nero d'Avola,Planeta
1984,US,"An exotic, spicy Pinot Noir, this is medium-bodied and crisp, with complex cranberry, raspberry, red licorice and smoky sandalwood flavors. Drink this dry, silky effort now.",Knittel Vineyard,88,40.0,California,Carneros,Napa-Sonoma,,,Renteria 2009 Knittel Vineyard Pinot Noir (Carneros),Pinot Noir,Renteria
2030,Italy,"A fifty-fifty blend of Sangiovese and Syrah, this densely concentrated wine has aromas that suggest underbrush, wet leaves, black berries and prune. The palate delivers fleshy black cherry, raisin, black pepper, espresso, bitter dark chocolate and a sugary vanilla note alongside solid tannins. It's at its ideal drinking window so enjoy soon.",Memento,87,39.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Olivi 2008 Memento Red (Toscana),Red Blend,Olivi
2034,US,"Dry and tannic, this 100% Cab has flavors of herbs, blackberries and tea. It's a tough wine not showing generosity now. You can age for a couple years, but the tannins will outlast the fruit.",Reserve,87,45.0,California,Alexander Valley,Sonoma,,,Rodney Strong 2010 Reserve Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Rodney Strong
2038,France,"A dense and rich, jammy Merlot that is full of black fruit and has an ultra-ripe feel. It is hardly Bordeaux, but it does hold attraction with its rich, full fruits and dense tannins. A smoke and bitter chocolate aftertaste suggests some firm extraction.",,87,22.0,Bordeaux,Fronsac,,Roger Voss,@vossroger,Château Magondeau 2010  Fronsac,Bordeaux-style Red Blend,Château Magondeau
2044,Italy,"Barolo Bricco delle Viole is a lush and generous wine with a bright ruby color and attractively intense aromas of cherry, wild berry, nutmeg, clove, powdered licorice and root beer. The oak influence is still obvious at this early stage, but will no doubt integrate with time. The mouthfeel is exceedingly soft, smooth and velvety. You don't need to wait too many years before uncorking this bottle.",Bricco delle Viole,92,75.0,Piedmont,Barolo,,,,G D Vajra 2006 Bricco delle Viole  (Barolo),Nebbiolo,G D Vajra
2048,Austria,"From slate and limestone vineyards, this is an intense wine, full of tropical fruit flavors, spice, toast and hints of ginger. The wine rolls richly around the mouth, a gorgeous, opulent texture.",Tatschler,92,,Burgenland,,,Roger Voss,@vossroger,Kollwentz 2008 Tatschler Chardonnay (Burgenland),Chardonnay,Kollwentz
2050,Austria,"Intense acidity, with the sweetness held in check by a bright, crisp character. Rich honey is balanced by an exquisite freshness, lightly perfumed, so clean and clear in final taste.",Eiswein 375ml,92,40.0,Niederösterreich,,,Roger Voss,@vossroger,Zull 2008 Eiswein 375ml Riesling (Niederösterreich),Riesling,Zull
2051,Austria,"Both crisp and rich, a magical combination with beautiful acidity, light currants, the whole wine infused with honey. The final acidity leaves a long-lasting aftertaste.",Eiswein 375ml,92,35.0,Niederösterreich,,,Roger Voss,@vossroger,Norbert Bauer 2008 Eiswein 375ml Grüner Veltliner (Niederösterreich),Grüner Veltliner,Norbert Bauer
2054,Italy,"Here's a very attractive and seductive Barolo with chiseled mineral tones that really help the wine stand out in a crowd. Layers of graphite and slate give purity, linearity and clarity to this austere and elegant expression. Earthy tones, as well as forest berry flavors, appear on the long finish.",Costa di Bussia,92,50.0,Piedmont,Barolo,,,,Tenuta Arnulfo 2006 Costa di Bussia  (Barolo),Nebbiolo,Tenuta Arnulfo
2055,Italy,"Founded in 1986, Tenuta Rocca is a hilltop property in Monforte d'Alba that overlooks some of the most beautiful landscapes in the Langhe. This wonderful Barolo opens with sweet smells of candle wax, nutmeg, ginger, chocolate and bright red fruit. The wine imparts a squeaky clean, polished feel in the mouth.",,92,48.0,Piedmont,Barolo,,,,Tenuta Rocca 2006  Barolo,Nebbiolo,Tenuta Rocca
2059,Italy,"Here's a vineyard-designate Barolo Riserva with pristine aromas of cherry, wild berry, smoke, tar, licorice and leather. The streamlined mouthfeel is polished yet firm, and the wine offers a long fade of cherry and spice flavors.",Bricco Boschis Riserva Vigna San Giuseppe,92,,Piedmont,Barolo,,,,Cavallotto 2004 Bricco Boschis Riserva Vigna San Giuseppe  (Barolo),Nebbiolo,Cavallotto
2060,Italy,"The prized Cannubi cru offers fruit that is interpreted by some of the finest winemakers in northern Italy. This expression from the dynamic Damilano winery is characterized by tight tannins, power, personality and ripe berry flavors. Pair this Barolo with risotto topped with thinly shaved truffles.",Cannubi,92,76.0,Piedmont,Barolo,,,,Damilano 2006 Cannubi  (Barolo),Nebbiolo,Damilano
2074,Italy,"Lamorèmio is a blend of Nerello Mascalese, Cabernet Sauvignon and Nero d'Avola in equal parts that tastes of Indian spice, clove, sweet cinnamon and blackberry. You'll also get a touch of caper or green olive that rides on the heels of the wine's smooth, supple mouthfeel.",Lamorèmio,90,45.0,Sicily & Sardinia,Sicilia,,,,Benanti 2005 Lamorèmio Red (Sicilia),Red Blend,Benanti
2080,US,"Ripe and oaky. May fall a bit short on complexity and finesse, but makes up for it in sheer power. Pineapple crème brûlée, spicy green apple butter, ripe pear, Asian spices and smoky oak are the flavors, backed with firm acidity.",,90,28.0,California,Russian River Valley,Sonoma,,,J Vineyards & Winery 2007 Chardonnay (Russian River Valley),Chardonnay,J Vineyards & Winery
2083,Argentina,"Aggressive smelling early on but then it settles on classy raspberry, cassis and herbs. The palate is very healthy, juicy, rich and big, but the flavors of dark berry fruit are subtle and smooth. Chunky, sweet and ripe on the finish. A Malbec to drink this winter. Only 300 cases produced.",Cuartel 2 Marchiori Vineyard,90,39.0,Mendoza Province,Perdriel,,Michael Schachner,@wineschach,Marchiori & Barraud 2007 Cuartel 2 Marchiori Vineyard Malbec (Perdriel),Malbec,Marchiori & Barraud
2084,Chile,"It's been a while since we've reviewed this wine, so this is a fine comeback. Plum, blackberry and rubber aromas are solid, but the real star is the palate, which is smooth and thick, with lush dark fruit flavors and a smoky background. Good, slightly herbal and long on the finish.",Edición Limitada,90,22.0,Maipo Valley,,,Michael Schachner,@wineschach,Morandé 2007 Edición Limitada Carmenère (Maipo Valley),Carmenère,Morandé
2103,Italy,"Although Pinot Grigios are white wines, you could consider this a rosé instead because of its luminous copper color. The wine boasts a thick, creamy consistency and has a generous, plush feel in the mouth. It's a special and carefully crafted wine.",Amplius,87,22.0,Northeastern Italy,Colli Orientali del Friuli,,,,Comelli 2006 Amplius Pinot Grigio (Colli Orientali del Friuli),Pinot Grigio,Comelli
2132,France,"Smooth and rich, this has superripe Merlot. It has soft, jammy red-fruit flavors and tannins that are enveloped by the opulent texture. The tannins should allow the wine to age over 3–6 years.",Château la Fleur Poitou,88,,Bordeaux,Lussac Saint-Émilion,,Roger Voss,@vossroger,Horeau-Beylot 2010 Château la Fleur Poitou  (Lussac Saint-Émilion),Bordeaux-style Red Blend,Horeau-Beylot
2148,Italy,A whiff of cellar floor and powdered sage lead the nose. The simple diluted palate offers dried black cherry and an earthy note alongside fleeting tannins.,Vasari,84,11.0,Central Italy,Montepulciano d'Abruzzo,,Kerin O’Keefe,@kerinokeefe,Barba 2015 Vasari  (Montepulciano d'Abruzzo),Montepulciano,Barba
2158,Portugal,"This wine is ripe with red fruits and soft tannins. It is smooth, packed with red-berry flavors lifted by the acidity. Made to be drunk young, it is ready now.",Pinta Negra Tinto,84,9.0,Lisboa,,,Roger Voss,@vossroger,Adega Mãe 2015 Pinta Negra Tinto Red (Lisboa),Portuguese Red,Adega Mãe
2192,US,"Boisterous blueberry, black cherry and black-currant aromas make for a hedonistic nose on this bottling that also offers a sultry line of cocoa, espresso and clove spice. The palate shows similar layering, from black-cherry compote to herbs to black olives, proving unique overall.",Estate,89,34.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Sculpterra 2014 Estate Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Sculpterra
2216,New Zealand,"This is round and mouthfilling without being fat or blowsy, finishing fairly crisp and dry. Along the way, hints of apple and citrus alternate with almond skin and cinnamon, providing a delicate balance of fruity and savory.",,88,17.0,Marlborough,,,Joe Czerwinski,@JoeCz,Kim Crawford 2014 Pinot Gris (Marlborough),Pinot Gris,Kim Crawford
2245,France,"This rich wine balances ripe yellow fruits with intense citrus acidity in a harmonious whole. Its structure is laden with minerality, toast and a smooth, delicious creamy aftertaste.",Les Pucelles Premier Cru,94,260.0,Burgundy,Puligny-Montrachet,,Roger Voss,@vossroger,Domaine Leflaive 2009 Les Pucelles Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive
2319,France,"Made 50/50 from Cabernet Franc and Cabernet Sauvigon, this dry, orange-pink-colored wine has an appreciable amount of tannin as well as plenty of fruit. Acidity and ripe raspberries show strongly, as well as crisp final acidity. Drink now.",La Camélias,85,13.0,Loire Valley,Rosé de Loire,,Roger Voss,@vossroger,Château de la Roulerie 2014 La Camélias  (Rosé de Loire),Rosé,Château de la Roulerie
2324,France,"This soft, gentle sparkling wine is fresh with raspberry fruits and acidity at the end. Drink as an apéritif.",Saint-Pierre Rosé Brut,85,24.0,France Other,Vin Mousseux,,Roger Voss,@vossroger,Château Saint-Pierre NV Saint-Pierre Rosé Brut Sparkling (Vin Mousseux),Sparkling Blend,Château Saint-Pierre
2332,France,"Attractive, simply fruity Chenin Blanc, this is a wine for drinking now. It is full of nutty flavors and apple acidity, with just a touch of minerality to give the wine some tension.",Les Pouches,85,14.0,Loire Valley,Saumur,,Roger Voss,@vossroger,Cave de Saumur 2014 Les Pouches  (Saumur),Chenin Blanc,Cave de Saumur
2344,France,Fresh red fruits are smoothed out with caramel and spice flavors that give a ripe feel to this wine. It's light and ready to drink.,,85,,Loire Valley,Sancerre,,Roger Voss,@vossroger,Le Roi des Pierres 2014 Rosé (Sancerre),Rosé,Le Roi des Pierres
2347,US,"Made by an Oregon winery from Carneros region grapes, this wine tastes mellow and mature. It has a relatively light color with an auburn rim, aromas that are savory and meaty, flavors like rhubarb and beef, a fairly crisp balance and smooth texture.",,85,29.0,California,California,California Other,Jim Gordon,@gordone_cellars,Ardiri Winery and Vineyards 2012 Pinot Noir (California),Pinot Noir,Ardiri Winery and Vineyards
2349,US,"Fresh in zingy, ripe blackberry flavor, this well-made Zin has firm tannins and a dollop of peppery spice on the finish.",Vintner's Reserve,88,17.0,California,Mendocino County,,Virginie Boone,@vboone,Kendall-Jackson 2011 Vintner's Reserve Zinfandel (Mendocino County),Zinfandel,Kendall-Jackson
2361,France,"Very dark, structured wine, with coffee as well as fruit flavors. The wood comes through firmly producing a solid, very dry character. The more juicy black currant fruits are still to show well. So wait to drink until 2015.",Domaine de la Ferté Premier Cru Servoisine,88,40.0,Burgundy,Givry,,Roger Voss,@vossroger,Domaines Devillard 2011 Domaine de la Ferté Premier Cru Servoisine  (Givry),Pinot Noir,Domaines Devillard
2369,Italy,"This opens with funky but not unpleasant aromas that soon burn off to reveal earthy notes and mature black fruit. The palate shows a very ripe—almost overripe—blackberry flavor, with mushroom and tobacco leaf accents. While the ripe fruit still has immediate appeal, this is getting tired, so drink soon.",,88,85.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Trabucchi d'Illasi 2007  Amarone della Valpolicella,Red Blend,Trabucchi d'Illasi
2374,Italy,"Made from Friulano, Pinot Grigio, Sauvignon, Malvasia and Ribolla Gialla, this blend represents the major white varieties in Friuli. It offers aromas of Spanish broom and lemon drop, with apricot and mineral flavors that finish long and clean.",Blanc des Rosis,88,30.0,Northeastern Italy,Collio,,Kerin O’Keefe,@kerinokeefe,Mario Schiopetto 2011 Blanc des Rosis White (Collio),White Blend,Mario Schiopetto
2377,US,"This young, stainless steel-fermented Chardonnay has a beery hoppiness to the aromas, leading into a tart, juicy and crisp palate of lime and grapefruit. The acids taste of wet stone, and that vivid minerality brings dimension and lift to the finish.",Unoaked,88,13.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Airfield Estates 2012 Unoaked Chardonnay (Yakima Valley),Chardonnay,Airfield Estates
2384,Portugal,"This wine comes from vineyards outside the boundaries of the Dão region but has the same typical blend. It shows minerality as well as rich fruit and soft tannins. The wine is balanced, stylish and deliciously ready to drink.",D. Fuas Reserva,87,10.0,Terras do Dão,,,Roger Voss,@vossroger,Caves Velhas 2014 D. Fuas Reserva Red (Terras do Dão),Portuguese Red,Caves Velhas
2424,Chile,"Leather, cheese, licorice, herb and tomato notes define the nose on this snappy, crisp Cabernet that's more racy and zesty than rich and deep. The finish is wiry, but overall the wine is short on richness.",Visión El Recurso Single Vineyard,85,16.0,Maipo Valley,,,Michael Schachner,@wineschach,Cono Sur 2010 Visión El Recurso Single Vineyard Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Cono Sur
2463,France,"From the northern end of the Haut-Médoc region, close to Saint-Estèphe, this dark-hued wine is still very structured. Smoky wood-aging flavors give complexity that balances the ripe black currant fruitiness. It's still developing, so don't drink before 2018.",,90,19.0,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château Larrivaux 2011  Haut-Médoc,Bordeaux-style Red Blend,Château Larrivaux
2464,France,"Big structure underlies this wine, very firm and dark. It has layers of dry tannins, big fruit and concentrated structure. The dryness at the heart of the wine will allow it to age well with its powerful structure and juicy aftertaste. Drink from 2020.",,90,,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Picque Caillou 2012  Pessac-Léognan,Bordeaux-style Red Blend,Château Picque Caillou
2476,US,"This vineyard near the confluence of the Salinas and Carmel valleys is producing strong wines, in this case one offering aromas of roasted game, smoked blueberries and cracked slate. It's juicy but not jammy on the palate, showing a pleasant, bright blend of blackberry and cherry fruits.",,90,32.0,California,Arroyo Seco,Central Coast,Matt Kettmann,@mattkettmann,Mesa Del Sol 2010 Zinfandel (Arroyo Seco),Zinfandel,Mesa Del Sol
2485,US,"This Cabernet Franc (70%) and Merlot blend brings aromas of green herbs, dark chocolate, flowers and a mixture of red and black fruit. It's soft in feel with polished fruit and barrel flavors that linger.",Limited Release Gold,88,12.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Crest 2013 Limited Release Gold Red (Columbia Valley (WA)),Red Blend,Columbia Crest
2486,Romania,"A blend of 50% Sauvignon Blanc, 40% Feteasca Alba (a native Romanian variety) and 10% Riesling Italico, this medium-straw colored wine has a bouquet of lemon skin with a hint of licorice. The flavor profile is dominated by lemon with soft spice notes.",Domaine Ceptura,88,22.0,Dealu Mare,,,Jeff Jenssen,@worldwineguys,Davino 2013 Domaine Ceptura White (Dealu Mare),White Blend,Davino
2513,US,"Sourced from the best barrels made at the winery in 2013, this off-dry reserve checks in with roughly 30 g/L residual sugar, and plenty of acidity to more than balance it out. It's sweet, tart and sappy, with concentrated, juicy flavors of Meyer lemon, grapefruit and tangerine. It feels full-bodied and roundly fruity, then continues to extend itself with concentrated details of mineral and acid. A wine of exceptional power and length.",Estates Reserve,95,32.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Trisaetum 2013 Estates Reserve Riesling (Willamette Valley),Riesling,Trisaetum
